Importante Empresa,722284,"La Paz, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,empresa importadora requiere contratarejecutivo de ventassucursal la pazrequisitos formacion en ing comercial administracion de empresas marketing o carreras afines  experiencia probada en gestion de ventas en el mercado de consumo masivo trabajo bajo presion por objetivos a tiempo completo y dedicacion exclusiva contar con garantias  se ofrecesueldo fijo mas comisiones sobre ventasenviar hoja de vida mas pretension salarial por trabajopolisbo,Ejecutivo(a) de Ventas - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722284/Ejecutivo(a)-de-Ventas---La-Paz.html?searchId=1546400657&page=1
Importante Empresa,722285,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,empresa importadora requiere contratarejecutivo de ventassucursal santa cruzrequisitos formacion en ing comercial administracion de empresas marketing o carreras afines  experiencia probada en gestion de ventas en el mercado de consumo masivo trabajo bajo presion por objetivos a tiempo completo y dedicacion exclusiva contar con garantias  se ofrecesueldo fijo mas comisiones sobre ventasenviar hoja de vida mas pretension salarial por trabajopolisbo,Ejecutivo(a) de Ventas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722285/Ejecutivo(a)-de-Ventas---Santa-Cruz.html?searchId=1546400657&page=1
Importante Empresa,722286,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,empresa importadora requiere contratarejecutivo de ventassucursal cochabambarequisitos formacion en ing comercial administracion de empresas marketing o carreras afines  experiencia probada en gestion de ventas en el mercado de consumo masivo trabajo bajo presion por objetivos a tiempo completo y dedicacion exclusiva contar con garantias  se ofrecesueldo fijo mas comisiones sobre ventasenviar hoja de vida mas pretension salarial por trabajopolisbo,Ejecutivo(a) de Ventas - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722286/Ejecutivo(a)-de-Ventas---Cochabamba.html?searchId=1546400657&page=1
Importante Empresa,722283,"Santa Cruz de la Sierra, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,importante empresa importadora a nivel nacional requiere incorporar a su equipo de trabajo  jefe de ventassede santa cruz objetivo del puestoasegurar el correcto desarrollo de todos los procesos y procedimientos a la administracion ventas cobranzas distribucion manejo de personal abastecimientos pedidos de mercaderia en las sucursales requisitos licenciatura en ing comercial marketing administracion de empresas o ramas afines manejo de ms office nivel avanzado tres  anos de experiencia en cargos similares de consumo masivo orientacion de servicio al cliente preventa y postventa conocimiento de presupuestos de ventas tecnicas de negociacion y canales de distribucion desarrolladas habilidades de negociacion y orientacion al logro de objetivos liderazgo y motivacion contar con garantia personal yo inmobiliaria competencias requeridas puntualidad organizacion honestidad adaptabilidad trabajo en equipo y dinamismo solida voluntad de trabajo y deseos de crecimiento trabajo bajo presion habilidad de relacionamiento y negociacion de clientes habilidad en manejo de equipos de trabajo y resolucion de conflictos te ofrecemos estabilidad laboral la oportunidad y las condiciones para mostrar tu capacidad y trabajar buen clima laboral las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Ventas - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722283/Jefe-de-Ventas---Santa-Cruz.html?searchId=1546400657&page=1
Importante Empresa,722281,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,importante empresa importadora a nivel nacional requiere incorporar a su equipo de trabajo  jefe de ventassede cochabamba objetivo del puestoasegurar el correcto desarrollo de todos los procesos y procedimientos a la administracion ventas cobranzas distribucion manejo de personal abastecimientos pedidos de mercaderia en las sucursales requisitos licenciatura en ing comercial marketing administracion de empresas o ramas afines manejo de ms office nivel avanzado tres  anos de experiencia en cargos similares de consumo masivo orientacion de servicio al cliente preventa y postventa conocimiento de presupuestos de ventas tecnicas de negociacion y canales de distribucion desarrolladas habilidades de negociacion y orientacion al logro de objetivos liderazgo y motivacion contar con garantia personal yo inmobiliaria competencias requeridas puntualidad organizacion honestidad adaptabilidad trabajo en equipo y dinamismo solida voluntad de trabajo y deseos de crecimiento trabajo bajo presion habilidad de relacionamiento y negociacion de clientes habilidad en manejo de equipos de trabajo y resolucion de conflictos te ofrecemos estabilidad laboral la oportunidad y las condiciones para mostrar tu capacidad y trabajar buen clima laboral las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Ventas - Cochabamba,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722281/Jefe-de-Ventas---Cochabamba.html?searchId=1546400657&page=1
Importante Empresa,722280,"La Paz, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,17 Marzo 2019,importante empresa importadora a nivel nacional requiere incorporar a su equipo de trabajo  jefe de ventassede la paz objetivo del puestoasegurar el correcto desarrollo de todos los procesos y procedimientos a la administracion ventas cobranzas distribucion manejo de personal abastecimientos pedidos de mercaderia en las sucursales requisitos licenciatura en ing comercial marketing administracion de empresas o ramas afines manejo de ms office nivel avanzado tres  anos de experiencia en cargos similares de consumo masivo orientacion de servicio al cliente preventa y postventa conocimiento de presupuestos de ventas tecnicas de negociacion y canales de distribucion desarrolladas habilidades de negociacion y orientacion al logro de objetivos liderazgo y motivacion contar con garantia personal yo inmobiliaria competencias requeridas puntualidad organizacion honestidad adaptabilidad trabajo en equipo y dinamismo solida voluntad de trabajo y deseos de crecimiento trabajo bajo presion habilidad de relacionamiento y negociacion de clientes habilidad en manejo de equipos de trabajo y resolucion de conflictos te ofrecemos estabilidad laboral la oportunidad y las condiciones para mostrar tu capacidad y trabajar buen clima laboral las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Jefe de Ventas - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722280/Jefe-de-Ventas---La-Paz.html?searchId=1546400657&page=1
Fray Pacioli Auditores Asociados S.R.L.,722252,"Santa Cruz de la Sierra, Bolivia",Contabilidad y Economía ,No Declarado ,15 Febrero 2019,17 Marzo 2019,pasantia area de contabilidad y auditoria requisitos titulados egresados o estudiantes universitarios de los ultimos semestres de la carrera de contaduria publica o auditoria se valorara buen historial academico universitario conocimientos en normas contables y tributarias disponibilidad tiempo completo no excluyente conocimientos en ms office beneficios aplicacion de conocimientos teoricos aprendidos en el aula capacitacion practica bono de transporte y alimentacion certificado de pasantias realizadas las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae con su carta de presentacion por trabajopolisbo,Pasantía Área de Contabilidad y Auditoría,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722252/Pasantía-Área-de-Contabilidad-y-Auditoría.html?searchId=1546400657&page=1
QUIMIZA LTDA.,722002,"Cochabamba, Bolivia",Marketing y Ventas ,No Declarado ,15 Febrero 2019,16 Marzo 2019,ejecutivo de ventas junior principal responsabilidadejecutar los planes comerciales del canal al cual sea asignado requisitos administrador de empresas ingeniero comercial o ramas afines interes en desarrollar carrera en el area de ventas compromiso y relacionamiento interpersonal orientacion al cliente conocimiento avanzado de herramientas informaticas excel word powerpoint ofrecemos pertenecer a un grupo empresarial internacional y reconocido con presencia en varios paises de latinoamerica remuneracion fija y comisiones acorde al desempeno y a las responsabilidades del cargo excelente ambiente de trabajo  las personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Ejecutivo(a) de Ventas Júnior,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/722002/Ejecutivo(a)-de-Ventas-Júnior.html?searchId=1546400657&page=1
Autokorp,710157,"Santa Cruz de la Sierra, Bolivia","Administración y Oficina,Recursos Humanos ",No Declarado ,15 Febrero 2019,17 Marzo 2019,analista de administracion de personalsede santa cruzfunciones principaleselaboracion de planillas salariales y realizar tramites laborales con el ministerio de trabajo caja petrolera de salud afps y otras instituciones relacionadasrequisitos formacion en administracion de empresas ing comercial o afines experiencia laboral minima de 2 anos en el area de rrhh conocimiento de administracion de personal experiencia en manejo de nomina conocimiento de legislacion laboral excel avanzadolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial y disponibilidad por trabajopolisbo,Analista de Administración de Personal - Santa Cruz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/710157/Analista-de-Administración-de-Personal---Santa-Cruz.html?searchId=1546400657&page=1
Autokorp,708837,"La Paz, Bolivia","Administración y Oficina,Marketing y Ventas ",No Declarado ,15 Febrero 2019,17 Marzo 2019,nuestra empresa perteneciente al rubro automotriz desea incorporar a su equipo de trabajo unasesor de serviciossede la pazrequisitos ingeniero o tecnico mediosuperior en mecanica minimo un ano en cargos similares brindando asesoramiento tecnico vehicular conocimiento sobre servicio tecnico mecanico y equipos que se utilizan para el mantenimiento automotriz conocimiento sobre todo tipo de repuestos automotrices conocimientos de mecanica electricidad y electronica avanzados conocimiento sobre chaperio y pintura deseable conocimiento en control de calidad y formularios de garantiaprincipales funciones recepcionar e ingresar al sistema la informacion de los vehiculos que ingresan a mantenimiento verificar y coordinar el ingreso de los vehiculos al taller asi como tambien la entrega de los mismos al finalizar el servicio coordinar con los clientes las autorizaciones para repuestos y presupuestos de su vehiculo hacer seguimiento a los vehiculos recibidos hasta la entrega en las condiciones requeridas y autorizadas por el clienteofrecemos la oportunidad de pertenecer y progresar en una empresa exitosa y en constante crecimiento estabilidad laboral y buen ambiente de trabajolas personas interesadas que cumplan con el perfil podran remitir su curriculum vitae indicando su pretension salarial por trabajopolisbo,Asesor de Servicios - La Paz,https://www.trabajopolis.bo/oferta-de-trabajo-y-empleo-en-bolivia/708837/Asesor-de-Servicios---La-Paz.html?searchId=1546400657&page=1
